author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC7cSWkTGLcZNcF313SrEDFw,@isha1416,UC7cSWkTGLcZNcF313SrEDFw,1,0,3.0,0.0,3.0,0.8555,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aishwarya Rai ❤❤
UC7jEEpYqZ3amVHB5FcKVAuw,@Pnille,UC7jEEpYqZ3amVHB5FcKVAuw,1,2,5.0,0.0,0.0,0.7717,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,You look like Hailey Bieber❤
UC7rNDgiQelk4SNrkDU8glYQ,@janicematugas1389,UC7rNDgiQelk4SNrkDU8glYQ,1,0,4.0,0.0,0.0,0.4767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Proud for Pia 🇵🇭❤️
UC80j1NdW9AemuJiiNiAjjcQ,@vividpulse24,UC80j1NdW9AemuJiiNiAjjcQ,1,1,2.0,0.0,0.0,-0.34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Kendall 🔥
UC85aWZKDG3DvsMXnYWLXl9Q,@watchareewongchan5719,UC85aWZKDG3DvsMXnYWLXl9Q,1,1,2.0,0.0,0.0,0.6369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Gemini ❤
UC8NFkBUnLvLuTG5lA5Nohtg,@mccheesey2442,UC8NFkBUnLvLuTG5lA5Nohtg,1,2,2.0,0.0,0.0,0.9274,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pia ❤❤❤
UC8Q99BcVuTcjsJxLdR0iSeQ,@tammymarsh5104,UC8Q99BcVuTcjsJxLdR0iSeQ,1,3,38.0,0.0,2.0,-0.3927,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,First time user and I am not impressed still ended up with drips on the floor cannot get to use color cartridge out to clean the darn thing what a waste of money and a lot of it
UC8SOUoShf2Hnzltez3A3xNg,@RishikaSharma-h7s8i,UC8SOUoShf2Hnzltez3A3xNg,1,3,19.0,0.0,0.0,0.9918,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bro indians its so much proud to have divyasriii and Aishwarya Raiiiii <br>Like oh my god breathtaking performance ❤❤❤❤❤🎉🎉🎉🎉🎉
UC8jsap924vn6_xo72Tzuj_A,@Dudu-ke3ce,UC8jsap924vn6_xo72Tzuj_A,1,1,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,衷心感谢巴黎欧莱雅将Becky纳入这个充满力量与美的大家庭。
UC9-go0ysY6JUGJyF0jLrM6Q,@EdKulback-kz2vb,UC9-go0ysY6JUGJyF0jLrM6Q,1,4,9.0,0.0,0.0,0.8402,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,What a great commercial with a beautiful young lady
